designation,class_bus,class_demeo,slope,PC1,PC2,PC3,PC4,PC5,name,number,class_
453,S,Sw,0.2547,-0.0338,-0.0309,0.1606,-0.0368,0.0078,Tea,453.0,Sw
456,S,S,0.2361,0.1184,-0.021,0.1282,0.0166,-0.0141,Abnoba,456.0,S
460,K,L,-0.005,0.4365,-0.2682,-0.0788,0.0035,-0.0065,Scania,460.0,L
485,S,S,0.1651,0.1581,0.0148,0.0029,0.052,0.0026,Genua,485.0,S
512,S,Sqw,0.2918,-0.1499,0.0803,0.2015,0.016,0.0016,Taurinensis,512.0,Sqw
513,K,K,0.0157,-0.0649,-0.189,0.0288,-0.1564,-0.034,Centesima,513.0,K
532,S,S,0.1781,0.0197,-0.0408,0.0319,-0.0135,-0.0177,Herculina,532.0,S
570,T,T,0.4169,0.1411,-0.2291,-0.1314,0.0819,0.0329,Kythera,570.0,D
579,K,K,0.1296,-0.1851,-0.1318,-0.0009,-0.01,-0.0241,Sidonia,579.0,K
596,T,T,0.2836,0.0374,-0.2216,-0.1808,0.0021,-0.0279,Scheila,596.0,T
599,K,L,0.1751,0.1626,-0.1783,-0.0262,0.0394,-0.0041,Luisa,599.0,L
606,K,L,0.1701,0.2644,-0.26,-0.0666,0.0145,0.0114,Brangane,606.0,L
625,Sa,Sw,0.4198,0.409,-0.1305,0.2046,0.0687,-0.0098,Xenia,625.0,Sw
631,S,S,0.1695,0.1668,-0.0136,0.0322,-0.0242,0.0373,Philippina,631.0,S
653,K,K,0.1222,-0.1679,-0.1498,-0.0035,-0.0703,-0.0072,Berenike,653.0,K
661,K,K,0.091,-0.0712,-0.1698,-0.0149,-0.0415,-0.0367,Cloelia,661.0,K
670,S,S,0.0748,0.2028,0.0193,-0.0003,0.0244,0.0141,Ottegebe,670.0,S
673,S,L,0.1012,0.4082,-0.3053,-0.0949,-0.0627,0.002,Edda,673.0,L
675,S,Sw,0.2698,-0.0684,-0.0132,0.045,0.0218,0.0048,Ludmilla,675.0,Sw
679,K,L,0.1343,0.2956,-0.2743,-0.0309,0.0426,0.0108,Pax,679.0,L
688,C,C,0.1442,-0.5997,-0.012,-0.1869,-0.0725,-0.0107,Melanie,688.0,C
699,Sq,S,0.1172,-0.072,0.0366,0.0116,0.0467,0.0081,Hela,699.0,S
706,Cgh,Cgh,0.1744,-0.5633,0.0475,-0.0812,0.2141,0.0726,Hirundo,706.0,Cgh
716,S,S,0.0861,0.4545,-0.1267,-0.0224,-0.0032,0.0232,Berkeley,716.0,S
719,,S,0.1976,0.149,-0.0287,0.0772,0.0078,-0.0304,Albert,719.0,S
720,Sq,Sq,0.0856,-0.1298,0.0391,-0.0386,0.0036,0.0346,Bohlinia,720.0,Sq
729,L,L,0.2592,0.2035,-0.2531,0.0273,-0.0633,0.019,Watsonia,729.0,L
739,X,Xc,0.1825,-0.2526,-0.1227,-0.168,-0.0181,0.0019,Mandeville,739.0,Xc
742,K,K,0.1083,-0.2484,-0.1032,-0.0032,-0.039,-0.0113,Edisona,742.0,K
773,T,T,0.3027,0.1142,-0.249,-0.1274,0.0177,0.0032,Irmintraud,773.0,T
776,Cgh,Cgh,0.1045,-0.1868,-0.1188,-0.146,0.0264,0.0473,Berbericia,776.0,Cgh
782,SI,Sw,0.3368,0.0608,-0.0072,0.1467,0.0671,-0.025,Montefiore,782.0,Sw
785,Cb,Cb,0.1886,-0.5012,-0.046,-0.2471,0.0059,-0.0661,Zwetana,785.0,Cb
789,X,X,0.2191,-0.3208,-0.0605,-0.1676,0.0007,0.0072,Lena,789.0,Xk
793,S,S,0.1374,0.2352,-0.0073,-0.0096,-0.0123,0.03,Arizona,793.0,S
808,Sq,Sr,0.1693,0.0862,0.0915,-0.0014,0.0518,0.0239,Merxia,808.0,Sr
824,L,L,0.012,0.4266,-0.369,-0.0526,-0.1061,-0.0267,Anastasia,824.0,L
832,,S,0.127,0.0897,-0.0428,-0.0827,0.0706,-0.0251,Karin,832.0,S
847,S,S,0.2065,0.1657,0.0385,0.0531,0.0338,0.0618,Agnia,847.0,S
863,A,A,0.8746,-0.7688,0.1836,0.5417,0.0295,-0.059,Benkoela,863.0,A
908,L,D,0.6858,-0.0216,-0.1444,-0.0045,0.2364,0.0957,Buda,908.0,D
913,Sa,Sw,0.3593,0.2196,-0.0639,0.1825,0.0032,-0.0164,Otila,913.0,Sw
925,S,S,0.1022,0.3738,-0.0883,-0.0133,0.0133,0.0088,Alphonsina,925.0,S
929,S,S,0.2074,0.1117,-0.0501,0.1472,-0.0539,-0.0012,Algunde,929.0,S
944,,D,0.63,0.2156,-0.3083,-0.1251,-0.0059,0.0008,Hidalgo,944.0,D
984,Sr,Sa,0.4377,-0.6705,0.1555,0.4003,-0.0513,-0.0021,Gretia,984.0,Sa
985,S,S,0.1807,-0.041,0.0211,0.1118,-0.0973,-0.0536,Rosina,985.0,S
1011,Sr,Sw,0.2929,-0.0775,0.0579,0.2634,-0.0301,0.0263,Laodamia,1011.0,Sw
1020,S,Sr,0.1983,0.2683,0.0304,0.0328,0.0114,0.0402,Arcadia,1020.0,Sr
1036,S,Sr,0.1217,0.3906,-0.0041,-0.0157,0.0087,0.031,Ganymed,1036.0,S
1065,S,S,0.2303,0.0672,-0.0003,0.1669,-0.0086,-0.0101,Amundsenia,1065.0,S
1094,Xk,Xk,0.2185,0.0318,-0.1897,-0.099,0.0497,-0.0212,Siberia,1094.0,Xk
1126,A,Sw,0.3941,0.241,-0.0503,0.2384,0.013,0.0301,Otero,1126.0,Sw
1131,S,S,0.148,0.1474,-0.0673,0.1983,-0.0362,-0.005,Porzia,1131.0,S
1139,S,Sw,0.3114,-0.0401,0.0462,0.2062,0.0016,-0.0152,Atami,1139.0,Sw
1143,,D,0.7547,0.0654,-0.2636,-0.0978,0.1332,-0.0107,Odysseus,1143.0,D
1147,S,Sw,0.2828,0.041,-0.0232,0.1653,-0.0255,0.0267,Stavropolis,1147.0,Sw
1148,K,K,0.1189,-0.2024,-0.1099,0.0499,-0.0615,0.0004,Rarahu,1148.0,K
1198,,Sw,0.3904,0.3122,-0.1438,-0.0191,0.0827,-0.0193,Atlantis,1198.0,Sw
1204,S,Sw,0.2876,-0.0614,0.0101,0.1076,0.0413,-0.0186,Renzia,1204.0,Sw
1228,S,Sr,0.2048,0.2914,0.0708,0.0311,0.0319,0.0398,Scabiosa,1228.0,Sr
1300,Cg,Cg,0.1054,-0.2599,-0.0818,-0.0837,0.0223,0.0834,Marcelle,1300.0,Cgh
1329,S,Sqw,0.3086,-0.1273,0.0168,0.1732,-0.0082,0.015,Eliane,1329.0,Sqw
1332,Ld,L,0.1529,0.0813,-0.3061,-0.1331,-0.3096,-0.0867,Marconia,1332.0,L
1350,Sa,S,0.2257,0.3398,-0.1171,0.0641,-0.1238,0.0803,Rosselia,1350.0,S
1374,Sq,Sq,0.1482,-0.3566,0.117,0.1614,0.0002,0.0058,Isora,1374.0,Sq
1433,S,S,0.1563,-0.0107,0.0712,0.0725,0.0117,0.0271,Geramtina,1433.0,S
1459,,Vw,0.3246,0.3316,1.306,-0.2959,-0.2269,-0.1211,Magnya,1459.0,Vw
1471,T,D,0.778,-0.3535,-0.0673,-0.1656,0.0479,0.006,Tornio,1471.0,D
1494,Sa,Sqw,0.3476,-0.132,0.0756,0.2302,-0.0403,0.0252,Savo,1494.0,Sqw
1508,C,B,-0.0249,-0.4553,-0.0766,-0.1418,-0.069,-0.0088,Kemi,1508.0,B
1542,D,D,0.721,0.1271,-0.1903,-0.1536,0.1144,0.0121,Schalen,1542.0,D
1565,Sq,S,0.0735,-0.0435,0.089,-0.1931,-0.1628,0.126,Lemaitre,1565.0,S
1620,S,S,0.1637,-0.0288,0.0273,0.1421,0.0505,-0.0231,Geographos,1620.0,S
1640,S,S,0.1595,0.0811,-0.0334,0.0752,0.0067,-0.0353,Nemo,1640.0,S
1642,S,S,0.0905,0.4415,-0.0859,0.03,-0.0789,0.0501,Hill,1642.0,S
1658,,S,0.2413,0.524,-0.1647,0.0594,0.076,-0.1031,Innes,1658.0,Sw
1659,S,S,0.1635,0.3504,-0.0797,-0.0459,0.0492,-0.0312,Punkaharju,1659.0,S
1660,S,S,0.1779,0.2259,-0.0131,0.0062,0.0255,0.0337,Wood,1660.0,S
1662,Sr,Sr,0.1815,0.495,-0.0014,0.0852,-0.0094,0.061,Hoffmann,1662.0,Sr
1667,Sa,Sw,0.3046,0.2717,-0.0619,0.2316,0.018,0.0174,Pels,1667.0,Sw
1685,S,S,0.0941,-0.0566,0.0256,0.133,-0.023,-0.0037,Toro,1685.0,Sq
1751,S,S,0.1143,0.315,-0.1147,0.002,-0.0945,-0.0117,Herget,1751.0,S
1807,S,Sqw,0.338,-0.2285,0.1384,0.0738,0.0275,-0.0119,Slovakia,1807.0,Sqw
1839,S,S,0.0519,0.1526,0.0026,0.0323,-0.1107,-0.0174,Ragazza,1839.0,S
1848,S,S,0.1435,0.2404,-0.0564,0.0716,-0.1098,0.0726,Delvaux,1848.0,S
1858,L,S,0.1504,0.5822,-0.2625,0.0029,0.0101,0.0387,Lobachevskij,1858.0,S
1862,Q,Q,0.1132,-0.4924,0.1862,0.2229,-0.0743,-0.0133,Apollo,1862.0,Q
1864,Sr,Sq,0.0528,-0.2706,0.1082,0.1794,-0.0888,0.0619,Daedalus,1864.0,Sq
1866,S,Sw,0.3453,0.07,-0.0057,0.07,-0.0052,0.051,Sisyphus,1866.0,Sw
1903,K,K,0.1249,-0.0241,-0.1681,-0.0055,-0.0425,-0.0199,Adzhimushkaj,1903.0,K
1904,R,V,0.1483,0.2755,0.5257,-0.0271,-0.0874,-0.0654,Massevitch,1904.0,V
1916,,Sw,0.3902,-0.0124,0.0565,0.0945,0.0145,-0.0035,Boreas,1916.0,Sw
1929,V,V,0.2193,1.0772,0.915,-0.0068,0.0364,-0.0233,Kollaa,1929.0,V
1943,,Sw,0.2732,0.174,-0.0746,0.0776,0.0524,0.0061,Anteros,1943.0,Sw
1980,Sl,Sw,0.4071,-0.0144,0.0523,0.1891,0.0235,0.0373,Tezcatlipoca,1980.0,Sw
2035,Xe,Xe,0.0876,0.1472,-0.2595,-0.0942,-0.0104,0.03,Stearns,2035.0,Xe
2042,Sq,Sr,0.08,0.189,0.0736,-0.0102,-0.0016,0.0046,Sitarski,2042.0,Sr
2045,V,V,0.1814,0.7055,0.8418,-0.0965,0.0756,-0.0684,Peking,2045.0,V
2063,Sq,Sq,0.07,-0.3144,0.066,0.1375,-0.0653,0.0226,Bacchus,2063.0,Sq
2064,S,Sqw,0.2569,-0.1839,0.0195,0.1767,0.0041,0.0066,Thomsen,2064.0,Sqw
2074,,Sq,0.4562,0.1019,0.044,0.1746,0.0269,-0.0534,Shoemaker,2074.0,Sw
2085,L,L,0.0454,0.446,-0.3548,-0.0183,-0.0488,-0.0129,Henan,2085.0,L
2099,Ch,Ch,0.1207,-0.5875,0.0166,-0.1875,0.0193,-0.0002,Opik,2099.0,Ch
2107,S,S,0.2481,0.058,-0.0705,0.0931,-0.0806,0.0095,Ilmari,2107.0,Sw
2157,S,S,0.1897,0.199,-0.0655,0.0722,-0.0001,0.0245,Ashbrook,2157.0,S
2246,D,D,0.5312,0.2511,-0.211,-0.1341,0.1233,0.0023,Bowell,2246.0,D
2335,,S,0.2315,0.2507,-0.0416,0.052,-0.0771,0.0458,James,2335.0,S
2353,S,S,0.0935,0.3713,-0.0718,-0.0252,0.0137,0.0303,Alva,2353.0,S
2354,L,L,0.0775,0.661,-0.3559,0.0723,-0.0512,0.0024,Lavrov,2354.0,L
2378,Cgh,Cgh,0.0583,-0.5495,0.0086,-0.1693,-0.0034,0.0288,Pannekoek,2378.0,Cgh
2386,S,S,0.1774,0.2766,-0.0508,0.0422,0.0113,0.0136,Nikonov,2386.0,S
2396,Sa,S,0.1849,0.2953,-0.1191,0.175,-0.0343,0.0169,Kochi,2396.0,S
2401,S,S,0.1744,0.2766,0.02,-0.0249,-0.0367,-0.0399,Aehlita,2401.0,S
2442,,V,0.1571,0.8876,0.9743,-0.2123,-0.01,-0.0243,Corbett,2442.0,V
2448,L,L,0.3125,0.4253,-0.3012,-0.0427,0.0606,0.0336,Sholokhov,2448.0,L
2501,A,A,0.8437,-0.6265,0.0916,0.6472,0.1271,-0.0803,Lohja,2501.0,A
