obs_id,target_name,target_class,access_url,bib_reference,alt_target_name
2002GL74_20140918_950_00,2002GL74,asteroid,http://spectre.imcce.fr/v1/m4ast/Spectre/2002GL74_20140918_950_00.txt,http://adsabs.harvard.edu/abs/2016A%26A...586A.129M,K02G74L
2002GM2_20150311_950_00,2002GM2,asteroid,http://spectre.imcce.fr/v1/m4ast/Spectre/2002GM2_20150311_950_00.txt,,
2002LU4_20141202_950_00,2002LU4,asteroid,http://spectre.imcce.fr/v1/m4ast/Spectre/2002LU4_20141202_950_00.txt,http://adsabs.harvard.edu/abs/2016A%26A...586A.129M,K02L04U
2002NG43_20141213_950_00,2002NG43,asteroid,http://spectre.imcce.fr/v1/m4ast/Spectre/2002NG43_20141213_950_00.txt,http://adsabs.harvard.edu/abs/2016A%26A...586A.129M,K02N43G
2002NV_20150207_950_00,2002NV,asteroid,http://spectre.imcce.fr/v1/m4ast/Spectre/2002NV_20150207_950_00.txt,,
2002OA22_20130921_568_00,2002OA22,asteroid,http://spectre.imcce.fr/v1/m4ast/Spectre/2002OA22_20130921_568_00.txt,,2002_OA22
2002PB91_20150126_950_00,2002PB91,asteroid,http://spectre.imcce.fr/v1/m4ast/Spectre/2002PB91_20150126_950_00.txt,http://adsabs.harvard.edu/abs/2016A%26A...586A.129M,K02P91B
2002RS28_20150527_950_00,2002RS28,asteroid,http://spectre.imcce.fr/v1/m4ast/Spectre/2002RS28_20150527_950_00.txt,,K02R28S
2002SM30_20150121_950_00,2002SM30,asteroid,http://spectre.imcce.fr/v1/m4ast/Spectre/2002SM30_20150121_950_00.txt,http://adsabs.harvard.edu/abs/2016A%26A...586A.129M,K02S30M
2002TC9_20060819_950_00,2002TC9,asteroid,http://spectre.imcce.fr/v1/m4ast/Spectre/2002TC9_20060819_950_00.txt,,2002_TC9
2002VU94_20140728_950_00,2002VU94,asteroid,http://spectre.imcce.fr/v1/m4ast/Spectre/2002VU94_20140728_950_00.txt,,K02V94U
2002VY94_20141230_950_00,2002VY94,asteroid,http://spectre.imcce.fr/v1/m4ast/Spectre/2002VY94_20141230_950_00.txt,,K02V94Y
2003MV11_20141125_950_00,2003MV11,asteroid,http://spectre.imcce.fr/v1/m4ast/Spectre/2003MV11_20141125_950_00.txt,http://adsabs.harvard.edu/abs/2016A%26A...586A.129M,K03M11V
2003PO1_20141007_950_00,2003PO1,asteroid,http://spectre.imcce.fr/v1/m4ast/Spectre/2003PO1_20141007_950_00.txt,http://adsabs.harvard.edu/abs/2016A%26A...586A.129M,K03P01O
2003QE17_20140913_950_00,2003QE17,asteroid,http://spectre.imcce.fr/v1/m4ast/Spectre/2003QE17_20140913_950_00.txt,http://adsabs.harvard.edu/abs/2016A%26A...586A.129M,K03Q17E
2003QH56_20141215_950_00,2003QH56,asteroid,http://spectre.imcce.fr/v1/m4ast/Spectre/2003QH56_20141215_950_00.txt,http://adsabs.harvard.edu/abs/2016A%26A...586A.129M,K03Q56H
2003QO104_20000101_950_00,2003QO104,asteroid,http://spectre.imcce.fr/v1/m4ast/Spectre/2003QO104_20000101_950_00.txt,,2003_QO104
2003QS59_20141012_950_00,2003QS59,asteroid,http://spectre.imcce.fr/v1/m4ast/Spectre/2003QS59_20141012_950_00.txt,http://adsabs.harvard.edu/abs/2016A%26A...586A.129M,K03Q59S
2003QW63_20140918_950_00,2003QW63,asteroid,http://spectre.imcce.fr/v1/m4ast/Spectre/2003QW63_20140918_950_00.txt,http://adsabs.harvard.edu/abs/2016A%26A...586A.129M,K03Q63W
2003QW63_20141202_950_00,2003QW63,asteroid,http://spectre.imcce.fr/v1/m4ast/Spectre/2003QW63_20141202_950_00.txt,http://adsabs.harvard.edu/abs/2016A%26A...586A.129M,K03Q63W
2003SA36_20141012_950_00,2003SA36,asteroid,http://spectre.imcce.fr/v1/m4ast/Spectre/2003SA36_20141012_950_00.txt,http://adsabs.harvard.edu/abs/2016A%26A...586A.129M,K03S36A
2003SW288_20141014_950_00,2003SW288,asteroid,http://spectre.imcce.fr/v1/m4ast/Spectre/2003SW288_20141014_950_00.txt,http://adsabs.harvard.edu/abs/2016A%26A...586A.129M,K03SS8W
2003SX220_20150119_950_00,2003SX220,asteroid,http://spectre.imcce.fr/v1/m4ast/Spectre/2003SX220_20150119_950_00.txt,http://adsabs.harvard.edu/abs/2016A%26A...586A.129M,2003 SX220
2003WL117_20150119_950_00,2003WL117,asteroid,http://spectre.imcce.fr/v1/m4ast/Spectre/2003WL117_20150119_950_00.txt,http://adsabs.harvard.edu/abs/2016A%26A...586A.129M,K03WB7L
2003WX39_20141207_950_00,2003WX39,asteroid,http://spectre.imcce.fr/v1/m4ast/Spectre/2003WX39_20141207_950_00.txt,http://adsabs.harvard.edu/abs/2016A%26A...586A.129M,K03W39X
2003XP17_20150126_950_00,2003XP17,asteroid,http://spectre.imcce.fr/v1/m4ast/Spectre/2003XP17_20150126_950_00.txt,http://adsabs.harvard.edu/abs/2016A%26A...586A.129M,2003 XP17
2003YY12_20150116_950_00,2003YY12,asteroid,http://spectre.imcce.fr/v1/m4ast/Spectre/2003YY12_20150116_950_00.txt,http://adsabs.harvard.edu/abs/2016A%26A...586A.129M,K03Y12Y
2004AF_20150206_950_00,2004AF,asteroid,http://spectre.imcce.fr/v1/m4ast/Spectre/2004AF_20150206_950_00.txt,,K04A00F
2004BL86_20150206_950_00,2004BL86,asteroid,http://spectre.imcce.fr/v1/m4ast/Spectre/2004BL86_20150206_950_00.txt,http://adsabs.harvard.edu/abs/2015A%26A...581A...3B,K04B86L
2004BL86_20150207_568_00,2004BL86,asteroid,http://spectre.imcce.fr/v1/m4ast/Spectre/2004BL86_20150207_568_00.txt,http://adsabs.harvard.edu/abs/2015A%26A...581A...3B,K04B86L
2004BV88_20141214_950_00,2004BV88,asteroid,http://spectre.imcce.fr/v1/m4ast/Spectre/2004BV88_20141214_950_00.txt,http://adsabs.harvard.edu/abs/2016A%26A...586A.129M,K04B88V
2004EW82_20150126_950_00,2004EW82,asteroid,http://spectre.imcce.fr/v1/m4ast/Spectre/2004EW82_20150126_950_00.txt,http://adsabs.harvard.edu/abs/2016A%26A...586A.129M,2004 EW82
2004FZ1_20000101_950_00,2004FZ1,asteroid,http://spectre.imcce.fr/v1/m4ast/Spectre/2004FZ1_20000101_950_00.txt,,2004_FZ1
2004JA27_20000101_950_00,2004JA27,asteroid,http://spectre.imcce.fr/v1/m4ast/Spectre/2004JA27_20000101_950_00.txt,,2004_JA27
2004JN13_20141230_950_00,2004JN13,asteroid,http://spectre.imcce.fr/v1/m4ast/Spectre/2004JN13_20141230_950_00.txt,,K04J13N
2004JN13_20150207_950_00,2004JN13,asteroid,http://spectre.imcce.fr/v1/m4ast/Spectre/2004JN13_20150207_950_00.txt,,K04J13N
2004RN9_20040923_568_00,2004RN9,asteroid,http://spectre.imcce.fr/v1/m4ast/Spectre/2004RN9_20040923_568_00.txt,,2004_RN9
2004RQ10_20000101_950_00,2004RQ10,asteroid,http://spectre.imcce.fr/v1/m4ast/Spectre/2004RQ10_20000101_950_00.txt,,2004_RQ10
2004TD10_20041021_568_00,2004TD10,asteroid,http://spectre.imcce.fr/v1/m4ast/Spectre/2004TD10_20041021_568_00.txt,,2004_TD10
2004TP1_20000101_950_00,2004TP1,asteroid,http://spectre.imcce.fr/v1/m4ast/Spectre/2004TP1_20000101_950_00.txt,,2004_TP1
2005JF21_20150524_950_00,2005JF21,asteroid,http://spectre.imcce.fr/v1/m4ast/Spectre/2005JF21_20150524_950_00.txt,,K05J21F
2005JF21_20150721_950_00,2005JF21,asteroid,http://spectre.imcce.fr/v1/m4ast/Spectre/2005JF21_20150721_950_00.txt,,K05J21F
2005NA56_20150207_950_00,2005NA56,asteroid,http://spectre.imcce.fr/v1/m4ast/Spectre/2005NA56_20150207_950_00.txt,,K05N56A
2005TR15_20140718_950_00,2005TR15,asteroid,http://spectre.imcce.fr/v1/m4ast/Spectre/2005TR15_20140718_950_00.txt,,
2006AQ_20140903_950_00,2006AQ,asteroid,http://spectre.imcce.fr/v1/m4ast/Spectre/2006AQ_20140903_950_00.txt,,K06A00Q
2006AT2_20150206_950_00,2006AT2,asteroid,http://spectre.imcce.fr/v1/m4ast/Spectre/2006AT2_20150206_950_00.txt,,
