number,name,date_obs,shortbib
2078.0,Nanking,1992-09-09,Xu+ 1995
2078.0,Nanking,1992-11-29,Xu+ 1995
2078.0,Nanking,1992-12-02,Xu+ 1995
2091.0,Sampo,1992-01-13,Xu+ 1995
2098.0,Zyskin,1993-01-21,Xu+ 1995
2105.0,Gudy,1992-09-10,Xu+ 1995
2105.0,Gudy,1992-09-11,Xu+ 1995
2107.0,Ilmari,1992-11-26,Xu+ 1995
2107.0,Ilmari,1992-11-27,Xu+ 1995
2113.0,Ehrdni,1993-01-21,Xu+ 1995
2119.0,Schwall,1991-10-31,Xu+ 1995
2128.0,Wetherill,1991-10-26,Xu+ 1995
2128.0,Wetherill,1991-10-30,Xu+ 1995
2130.0,Evdokiya,1991-10-31,Xu+ 1995
2140.0,Kemerovo,1993-01-01,Xu+ 1995
2143.0,Jimarnold,1991-12-16,Xu+ 1995
2149.0,Schwambraniya,1991-12-08,Xu+ 1995
2149.0,Schwambraniya,1993-01-20,Xu+ 1995
2159.0,Kukkamaki,1993-01-22,Xu+ 1995
2174.0,Asmodeus,1991-10-27,Xu+ 1995
2204.0,Lyyli,1993-01-04,Xu+ 1995
2215.0,Sichuan,1993-01-01,Xu+ 1995
2253.0,Espinette,1991-10-31,Xu+ 1995
2259.0,Sofievka,1992-09-08,Xu+ 1995
2299.0,Hanko,1991-10-31,Xu+ 1995
2327.0,Gershberg,1991-11-01,Xu+ 1995
2327.0,Gershberg,1991-12-14,Xu+ 1995
2365.0,Interkosmos,1992-12-02,Xu+ 1995
2403.0,Sumava,1993-01-21,Xu+ 1995
2420.0,Ciurlionis,1992-11-27,Xu+ 1995
2440.0,Educatio,1991-11-01,Xu+ 1995
2442.0,Corbett,1992-11-30,Xu+ 1995
2442.0,Corbett,1992-12-01,Xu+ 1995
2444.0,Lederle,1991-11-01,Xu+ 1995
2503.0,Liaoning,1991-10-28,Xu+ 1995
2538.0,Vanderlinden,1991-12-13,Xu+ 1995
2558.0,Viv,1991-10-28,Xu+ 1995
2558.0,Viv,1991-10-29,Xu+ 1995
2590.0,Mourao,1992-11-26,Xu+ 1995
2599.0,Veseli,1992-09-09,Xu+ 1995
2645.0,Daphne Plane,1993-01-22,Xu+ 1995
2728.0,Yatskiv,1991-12-08,Xu+ 1995
2775.0,Odishaw,1991-12-15,Xu+ 1995
2790.0,Needham,1991-10-31,Xu+ 1995
2908.0,Shimoyama,1991-10-26,Xu+ 1995
2920.0,Automedon,1992-03-13,Xu+ 1995
2923.0,Schuyler,1991-12-14,Xu+ 1995
2946.0,Muchachos,1991-12-16,Xu+ 1995
2965.0,Surikov,1992-11-28,Xu+ 1995
2966.0,Korsunia,1992-03-12,Xu+ 1995
2966.0,Korsunia,1992-03-13,Xu+ 1995
3109.0,Machin,1991-12-15,Xu+ 1995
3153.0,Lincoln,1992-11-28,Xu+ 1995
3153.0,Lincoln,1992-12-01,Xu+ 1995
3155.0,Lee,1991-10-28,Xu+ 1995
3155.0,Lee,1991-10-29,Xu+ 1995
3158.0,Anga,1992-09-06,Xu+ 1995
3167.0,Babcock,1993-01-21,Xu+ 1995
3220.0,Murayama,1991-12-16,Xu+ 1995
3231.0,Mila,1993-01-21,Xu+ 1995
3268.0,De Sanctis,1992-03-11,Xu+ 1995
3285.0,Ruth Wolfe,1991-10-26,Xu+ 1995
3321.0,Dasha,1993-01-22,Xu+ 1995
3332.0,Raksha,1993-01-20,Xu+ 1995
3354.0,McNair,1992-09-06,Xu+ 1995
3381.0,Mikkola,1991-10-30,Xu+ 1995
3431.0,Nakano,1992-01-14,Xu+ 1995
3494.0,Purple Mountain,1993-01-21,Xu+ 1995
3501.0,Olegiya,1993-01-21,Xu+ 1995
3523.0,Arina,1992-03-14,Xu+ 1995
3528.0,Counselman,1991-12-14,Xu+ 1995
3559.0,Violaumayer,1992-11-27,Xu+ 1995
3578.0,Carestia,1992-01-16,Xu+ 1995
3578.0,Carestia,1992-01-20,Xu+ 1995
3586.0,Vasnetsov,1992-03-12,Xu+ 1995
3628.0,Boznemcova,1991-12-08,Xu+ 1995
3628.0,Boznemcova,1993-01-21,Xu+ 1995
3628.0,Boznemcova,1993-01-22,Xu+ 1995
3657.0,Ermolova,1992-09-06,Xu+ 1995
3657.0,Ermolova,1992-09-07,Xu+ 1995
3665.0,Fitzgerald,1992-11-26,Xu+ 1995
3674.0,Erbisbuhl,1992-09-11,Xu+ 1995
3677.0,Magnusson,1991-11-01,Xu+ 1995
3740.0,Menge,1991-12-15,Xu+ 1995
3748.0,Tatum,1991-12-15,Xu+ 1995
3759.0,Piironen,1993-01-04,Xu+ 1995
3760.0,Poutanen,1991-12-08,Xu+ 1995
3792.0,Preston,1992-03-11,Xu+ 1995
3792.0,Preston,1992-03-12,Xu+ 1995
3792.0,Preston,1992-03-14,Xu+ 1995
3869.0,Norton,1992-03-11,Xu+ 1995
3869.0,Norton,1992-03-12,Xu+ 1995
3915.0,Fukushima,1992-11-26,Xu+ 1995
,,1993-01-21,Xu+ 1995
3944.0,Halliday,1992-11-28,Xu+ 1995
3944.0,Halliday,1992-11-29,Xu+ 1995
3944.0,Halliday,1992-12-01,Xu+ 1995
3963.0,Paradzhanov,1992-12-02,Xu+ 1995
