name,number,inst,run,filename
Magellan,4055,spex,sp275,a004055.sp275.txt
2013 PY6,,spex,sp275,au2013py6.sp275.txt
2004 RF84,612813,spex,sp275,au2004rf84.sp275.txt
2020 PD1,,spex,sp275,au2020pd1.sp275.txt
2001 VM4,159571,spex,sp275,a159571.sp275.txt
1999 VS6,474179,spex,sp275,a474179.sp275.txt
1974 MA,5660,spex,sp43,a005660.sp43.txt
Golombek,6456,spex,sp43,a006456.sp43.txt
2005 ND7,363814,spex,sp43,au2005ND7.sp43.txt
Honoria,236,spex,sp50,a000236.sp50.txt
1998 SG36,85709,spex,sp50,a085709.sp50.txt
Villigera,1310,spex,sp50,a001310.sp50.txt
2006 HY51,394130,spex,sp50,au2006HY51.sp50.txt
Paris,3317,spex,sp50,a003317.sp50.txt
Nausikaa,192,spex,sp50,a000192.sp50.txt
Boznemcova,3628,spex,sp50,a003628.sp50.txt
1997 TG19,9992,spex,sp50,a009992.sp50.txt
1993 MF,5836,spex,sp108,a005836.sp108.txt
1996 SK,297274,spex,sp108,a297274.sp108.txt
2003 WH166,,spex,sp108,au2003wh166.sp108.txt
2010 KX7,365424,spex,sp108,au2010kx7.sp108.txt
Akhenaten,326290,spex,sp108,au1998he3.sp108.txt
1990 QP10,14390,spex,sp108,a014390.sp108.txt
Saris,19652,spex,sp108,a019652.sp108.txt
1991 VH,35107,spex,sp20,a035107.sp20.txt
1992 SY,52340,spex,sp20,au1992SY.sp20.txt
2002 XO14,,spex,sp20,au2002XO14.sp20.txt
1999 OP3,162186,spex,sp20,au1999OP3.sp20.txt
Huitzilopochtli,52387,spex,sp20,au1993OM7.sp20.txt
2001 PT9,480858,spex,sp88,au2001PT9.sp88.txt
2006 EE1,518507,spex,sp88,au2006EE1.sp88.txt
Sigurd,11066,spex,sp88,a011066.sp88.txt
2009 UN3,484976,spex,sp88,au2009UN3.sp88.txt
2003 XF11,229007,spex,sp88,a229007.sp88.txt
Ivar,1627,spex,sp88,a001627.sp88.txt
Amun,3554,spex,sp88,a003554.sp88.txt
1990 BG,5131,spex,sp67,a005131.sp67.txt
2008 AF4,332446,spex,sp67,au2008AF4.sp67.txt
2002 AV4,99935,spex,sp67,a099935.sp67.txt
Halweaver,5720,spex,sp67,a005720.sp67.txt
2000 CH59,310442,spex,sp67,au2000CH59.sp67.txt
Seleucus,3288,spex,sp67,a003288.sp67.txt
1999 WA2,86324,spex,sp67,a086324.sp67.txt
